[2025-06-29 16:17:59,230][REST][INFO][gRPC REST] - Server started
[2025-06-29 16:18:00,930][REST][INFO][REST Server] - Received Mission
[2025-06-29 16:18:00,930] - [REST][INFO][REST Server] - Received Mission
[2025-06-29 16:18:00,934][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-06-29 16:18:00,934] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-06-29 16:18:00,945][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-06-29 16:18:00,945] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-06-29 16:23:28,946][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-06-29 16:23:28,946] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-18 08:15:20,953][REST][INFO][gRPC REST] - Server started
[2025-07-18 08:16:06,897][REST][INFO][REST Server] - Received Mission
[2025-07-18 08:16:06,897] - [REST][INFO][REST Server] - Received Mission
[2025-07-18 08:16:06,899][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-18 08:16:06,899] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-18 08:16:06,906][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-18 08:16:06,906] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-18 08:21:39,974][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-18 08:21:39,974] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-18 08:22:21,152][REST][INFO][gRPC REST] - Server started
[2025-07-18 08:22:24,908][REST][INFO][REST Server] - Received Mission
[2025-07-18 08:22:24,908] - [REST][INFO][REST Server] - Received Mission
[2025-07-18 08:22:24,911][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-18 08:22:24,911] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-18 08:22:24,921][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-18 08:22:24,921] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-18 08:27:53,399][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-18 08:27:53,399] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-21 08:39:37,308][REST][INFO][gRPC REST] - Server started
[2025-07-21 15:56:32,854][REST][INFO][gRPC REST] - Server started
[2025-07-21 16:15:45,338][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-21 16:18:04,445][REST][INFO][REST Server] - Received Mission
[2025-07-21 16:18:04,445] - [REST][INFO][REST Server] - Received Mission
[2025-07-21 16:18:04,448][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-21 16:18:04,448] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-21 16:18:04,454][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-21 16:18:04,454] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 08:37:11,011][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-28 08:46:36,672][REST][INFO][REST Server] - Received Mission
[2025-07-28 08:46:36,672] - [REST][INFO][REST Server] - Received Mission
[2025-07-28 08:46:36,674][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 08:46:36,674] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 08:46:36,681][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 08:46:36,681] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 08:53:46,658][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-28 08:53:53,714][REST][INFO][REST Server] - Received Mission
[2025-07-28 08:53:53,714][REST][INFO][REST Server] - Received Mission
[2025-07-28 08:53:53,719][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 08:53:53,719][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 08:53:53,732][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 08:53:53,732][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 08:57:05,614][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-28 08:57:12,525][REST][INFO][REST Server] - Received Mission
[2025-07-28 08:57:12,525][REST][INFO][REST Server] - Received Mission
[2025-07-28 08:57:12,529][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 08:57:12,529][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 08:57:12,540][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 08:57:12,540][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 09:02:44,833][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-28 09:02:44,833][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-28 09:24:02,882][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-28 09:24:40,253][REST][INFO][REST Server] - Received Mission
[2025-07-28 09:24:40,253][REST][INFO][REST Server] - Received Mission
[2025-07-28 09:24:40,258][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 09:24:40,258][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 09:24:40,266][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 09:24:40,266][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 09:30:20,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-28 09:30:20,137][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-28 13:21:08,530][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-28 13:21:12,509][REST][INFO][REST Server] - Received Mission
[2025-07-28 13:21:12,509][REST][INFO][REST Server] - Received Mission
[2025-07-28 13:21:12,512][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 13:21:12,512][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-28 13:21:12,522][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-28 13:21:12,522][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 09:32:17,099][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 09:32:49,218][REST][INFO][REST Server] - Received Mission
[2025-07-29 09:32:49,218][REST][INFO][REST Server] - Received Mission
[2025-07-29 09:32:49,222][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 09:32:49,222][REST][INFO][gRPC REST] - Sending mission to Fleet Management
