[2025-04-10 13:13:15,769] - [MQTT][INFO][gRPC MQTT] - Server started on [::]:50057
[2025-04-10 13:26:19,749] - [MQTT][INFO][gRPC MQTT] - Server thread initialized
[2025-04-10 13:26:19,752] - [MQTT][INFO][gRPC MQTT] - Server started on [::]:50057
[2025-04-10 13:26:24,008] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:26:24,010] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:26:24,730] - [MQTT][INFO] - Published
[2025-04-10 13:26:26,063] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:26:26,065] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:26:26,070] - [MQTT][INFO] - Published
[2025-04-10 13:26:27,999] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:26:28,003] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:26:28,006] - [MQTT][INFO] - Published
[2025-04-10 13:26:30,045] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:26:30,047] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:26:30,050] - [MQTT][INFO] - Published
[2025-04-10 13:26:32,094] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:26:32,096] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:26:32,099] - [MQTT][INFO] - Published
[2025-04-10 13:27:32,874] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:27:32,876] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:27:32,879] - [MQTT][INFO] - Published
[2025-04-10 13:27:42,788] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:27:42,790] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:27:42,794] - [MQTT][INFO] - Published
[2025-04-10 13:27:52,850] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:27:52,852] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:27:52,854] - [MQTT][INFO] - Published
[2025-04-10 13:27:54,970] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:27:54,971] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:27:55,721] - [MQTT][INFO] - Published
[2025-04-10 13:28:01,223] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:01,224] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:28:01,918] - [MQTT][INFO] - Published
[2025-04-10 13:28:02,863] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:02,865] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:28:02,869] - [MQTT][INFO] - Published
[2025-04-10 13:28:04,976] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:04,978] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:28:04,981] - [MQTT][INFO] - Published
[2025-04-10 13:28:11,294] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:11,295] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:28:11,299] - [MQTT][INFO] - Published
[2025-04-10 13:28:12,942] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:12,944] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:28:12,960] - [MQTT][INFO] - Published
[2025-04-10 13:28:14,998] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:15,000] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:28:15,003] - [MQTT][INFO] - Published
[2025-04-10 13:28:19,152] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:19,913] - [MQTT][INFO] - Published
[2025-04-10 13:28:20,660] - [MQTT][INFO] - Published
[2025-04-10 13:28:21,266] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:21,400] - [MQTT][INFO] - Published
[2025-04-10 13:28:22,135] - [MQTT][INFO] - Published
[2025-04-10 13:28:22,882] - [MQTT][INFO] - Published
[2025-04-10 13:28:22,885] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:28:22,887] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:28:22,890] - [MQTT][INFO] - Published
[2025-04-10 13:28:22,952] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:22,954] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:28:22,976] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:28:22,978] - [MQTT][INFO] - Published
[2025-04-10 13:28:24,993] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:24,994] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:28:25,022] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:28:25,025] - [MQTT][INFO] - Published
[2025-04-10 13:28:31,247] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:31,248] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:28:31,252] - [MQTT][INFO] - Published
[2025-04-10 13:28:32,903] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:32,904] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:28:32,929] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:28:32,931] - [MQTT][INFO] - Published
[2025-04-10 13:28:34,968] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:34,970] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:28:34,992] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:28:34,994] - [MQTT][INFO] - Published
[2025-04-10 13:28:41,226] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:41,227] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:28:41,230] - [MQTT][INFO] - Published
[2025-04-10 13:28:42,868] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:42,870] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:28:42,893] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:28:42,895] - [MQTT][INFO] - Published
[2025-04-10 13:28:44,976] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:44,978] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:28:45,001] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:28:45,002] - [MQTT][INFO] - Published
[2025-04-10 13:28:51,273] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:51,275] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:28:51,277] - [MQTT][INFO] - Published
[2025-04-10 13:28:52,788] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:52,790] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:28:52,808] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:28:52,810] - [MQTT][INFO] - Published
[2025-04-10 13:28:55,030] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:28:55,032] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:28:55,054] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:28:55,056] - [MQTT][INFO] - Published
[2025-04-10 13:31:28,682] - [MQTT][INFO][gRPC MQTT] - Server thread initialized
[2025-04-10 13:31:28,684] - [MQTT][INFO][gRPC MQTT] - Server started on [::]:50057
[2025-04-10 13:31:31,291] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:31,292] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:31:32,012] - [MQTT][INFO] - Published
[2025-04-10 13:31:32,785] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:32,787] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:31:33,494] - [MQTT][INFO] - Published
[2025-04-10 13:31:34,288] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:35,018] - [MQTT][INFO] - Published
[2025-04-10 13:31:35,060] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:35,764] - [MQTT][INFO] - Published
[2025-04-10 13:31:36,729] - [MQTT][INFO] - Published
[2025-04-10 13:31:37,606] - [MQTT][INFO] - Published
[2025-04-10 13:31:38,342] - [MQTT][INFO] - Published
[2025-04-10 13:31:38,344] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:31:38,345] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:31:39,061] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:31:39,062] - [MQTT][INFO] - Published
[2025-04-10 13:31:41,359] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:41,360] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:31:41,363] - [MQTT][INFO] - Published
[2025-04-10 13:31:42,814] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:42,816] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:31:42,839] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:31:42,841] - [MQTT][INFO] - Published
[2025-04-10 13:31:45,068] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:45,070] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:31:45,088] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:31:45,089] - [MQTT][INFO] - Published
[2025-04-10 13:31:51,367] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:51,368] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:31:51,372] - [MQTT][INFO] - Published
[2025-04-10 13:31:52,849] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:52,851] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:31:52,871] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:31:52,873] - [MQTT][INFO] - Published
[2025-04-10 13:31:54,969] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:31:54,971] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:31:54,992] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:31:54,994] - [MQTT][INFO] - Published
[2025-04-10 13:32:01,254] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:01,256] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:32:01,262] - [MQTT][INFO] - Published
[2025-04-10 13:32:02,962] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:02,964] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:32:02,987] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
