[2025-04-06 19:49:26,285] - [REST][INFO][gRPC REST] - Server started
[2025-04-06 19:49:32,707] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:49:32,707] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:49:32,713] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:49:32,713] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:49:32,731] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:49:32,731] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:50:28,851] - [REST][INFO][gRPC REST] - Server started
[2025-04-06 19:50:33,277] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:50:33,277] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:50:33,282] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:50:33,282] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:50:33,304] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:50:33,304] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:51:17,193] - [REST][INFO][gRPC REST] - Server started
[2025-04-06 19:51:37,010] - [REST][INFO][gRPC REST] - Server started
[2025-04-06 19:51:52,617] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:51:52,617] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:51:52,622] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:51:52,622] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:51:52,637] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:51:52,637] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:55:41,934] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-06 19:55:41,934] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-06 19:56:29,549] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:56:29,549] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:56:29,549] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:56:29,558] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:56:29,558] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:56:29,558] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:56:29,574] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:56:29,574] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:56:29,574] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:56:30,563] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:56:30,563] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:56:30,563] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:56:30,563] - [REST][INFO][REST Server] - Received Mission
[2025-04-06 19:56:30,577] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:56:30,577] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:56:30,577] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:56:30,577] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-06 19:56:30,594] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-06 19:56:30,594] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
